City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,sartell,1,US,1524710160,42,45.62,-94.21,48.2,3.36
88,hamilton,90,BM,1524711300,83,32.3,-64.78,69.8,23.04
89,colac,92,AU,1524712733,74,-38.34,143.59,59.19,5.97
90,saldanha,0,PT,1524712733,68,41.42,-6.55,53.97,10.45
91,port elizabeth,90,US,1524711840,82,39.31,-74.98,62.6,9.17
92,oyama,75,JP,1524708000,49,36.31,139.8,68.0,4.7
93,saskylakh,8,RU,1524712733,94,71.97,114.09,26.07,11.45
94,ribeira grande,92,PT,1524712733,97,38.52,-28.7,63.24,12.91
95,seydi,0,NE,1524712733,49,13.34,7.75,71.7,8.55
96,skibbereen,0,IE,1524711600,93,51.55,-9.27,37.4,8.05
97,srednekolymsk,0,RU,1524712734,68,67.46,153.71,27.06,8.66
98,avarua,75,CK,1524711600,83,-21.21,-159.78,77.0,8.05
99,nurota,0,UZ,1524709800,66,40.56,65.69,55.4,4.7
100,nikolskoye,90,RU,1524709800,93,59.7,30.79,42.8,2.24
101,dalvik,76,SE,1524711000,86,57.79,14.13,41.0,10.29
102,hobart,20,AU,1524709980,38,-42.88,147.33,60.8,20.8
103,arlit,0,NE,1524712734,18,18.74,7.39,69.81,3.29
104,bazarnyye mataki,92,RU,1524712735,91,54.9,49.93,38.04,17.05
105,busselton,92,AU,1524712735,100,-33.64,115.35,65.13,3.74
106,luwuk,92,ID,1524712735,100,-0.95,122.79,72.6,2.51
107,cape town,75,ZA,1524709800,93,-33.93,18.42,53.6,17.22
108,nadvoitsy,48,RU,1524712735,90,63.89,34.27,30.84,3.62
109,mount gambier,56,AU,1524712735,77,-37.83,140.78,60.9,6.2
110,lavrentiya,88,RU,1524712735,96,65.58,-170.99,30.84,22.64
111,wanning,75,AT,1524711000,76,48.64,13.53,55.4,5.82
112,porbandar,40,IN,1524709800,74,21.64,69.61,78.8,4.7
113,sitka,0,US,1524712736,67,37.17,-99.65,48.57,5.86
114,martapura,68,ID,1524712736,97,-3.41,114.85,82.77,3.96
115,puerto ayora,8,EC,1524712736,99,-0.74,-90.35,76.56,7.43
116,zheleznodorozhnyy,0,RU,1524709800,93,55.75,38.0,44.6,6.71
117,rocha,48,UY,1524712736,93,-34.48,-54.34,60.45,2.62
